Census Tract,Total Population,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%)
6085511905,3408,13.41,70.92,15.67,4.93,45.89,0.59,0,43.96,4.64
6085511907,4223,11.53,74.71,13.76,9.28,38.65,3.55,0.85,44.71,2.96
6085511909,7737,10.07,70.18,19.75,4.47,43.01,0,0,46.94,5.57
6085511910,3145,10.21,70.91,18.89,3.21,60.79,2.54,0.38,25.37,7.69
6085511911,4934,6.81,73.1,20.09,6.63,54.26,8.72,0.22,25.66,4.52
6085511912,5678,11.87,70.87,17.26,7.43,34.47,2.13,0.77,49.33,5.86
6085511913,4320,11.04,68.15,20.81,12.15,61.27,0.6,0,23.57,2.41
6085511914,5722,11.94,66.32,21.74,8.16,57.83,4.84,0,22.61,6.55
6085511915,3664,15.01,73.47,11.52,41.78,34.17,7.45,0,15.04,1.56
6085511916,4797,18.47,67.75,13.78,11.32,49.59,1.98,0,28.58,8.53
6085512001,6868,12.07,77.52,10.41,23.59,24.87,0.09,0,47.55,3.9
6085512005,6817,9.52,74.11,16.37,24.54,51.17,1.89,0,17.34,5.06
6085512017,7565,14.06,76.81,9.12,48.86,21.8,2.59,0.49,22.04,4.23
6085512019,4863,13.88,69.75,16.37,30.41,28.6,6.46,1.01,28.68,4.83
6085512020,7825,13.85,80.49,5.66,34.2,24.38,1.37,0,30.94,9.11
6085512021,6491,12.14,76.12,11.74,32.77,30.81,4.24,0.77,26.93,4.48
6085512022,5523,12.31,72.77,14.92,33.42,27.18,2.97,0.58,32.54,3.31
6085512023,5553,13.07,78.68,8.25,43.98,25.27,6.92,0.56,19.5,3.78
6085512024,5187,12.32,74.44,13.24,25.76,41.37,6.02,0.1,20.92,5.84
6085512025,3124,12.16,62.87,24.97,26.79,40.59,7.39,0,24.26,0.96
6085512026,4120,14.56,72.23,13.2,40.46,22.74,7.33,0.27,25.05,4.15
6085512027,4830,14.72,71.35,13.93,25.92,33.02,3.89,0.56,31.2,5.4
6085512029,6698,12.48,72.63,14.89,31.65,44.79,2.27,0,16.63,4.66
6085512030,3350,15.34,71.1,13.55,25.7,47.94,1.88,0.24,20.06,4.18
6085512031,4661,11.35,75.39,13.26,25.83,45.61,1.46,0.13,17.22,9.74
6085512032,2997,10.71,71.94,17.35,31.4,43.11,1.6,0,19.22,4.67
6085512033,9884,13.52,76.74,9.74,27.11,34.21,3.96,0.6,28.13,6
6085512034,3082,11.97,75.76,12.26,21.64,44.13,0.36,0,26.02,7.85
6085512035,4924,11.58,72.83,15.6,30.24,42.4,1.71,0,21.3,4.35
6085512036,5187,15.02,75.75,9.23,22.58,36.57,3.49,0,31.71,5.65
6085512037,3416,15.75,71.31,12.94,25.5,44.03,1.29,0,19.96,9.22
6085512038,3254,12.75,79.26,7.99,26.49,40.1,0.83,0,30.92,1.66
6085512039,5402,14.33,74.36,11.31,31.82,13.64,5.24,0,47.56,1.74
6085512042,3020,5.43,79.83,14.74,37.55,9.11,4.11,2.15,42.98,4.11
6085512043,6583,18.68,72.08,9.24,62.42,8.31,3.77,0,23.96,1.55
6085512045,5653,11.32,75.55,13.13,16.93,53.09,1.72,0,22.52,5.75
6085512047,5808,11.28,74.05,14.67,28.7,46.18,1.36,0,20.42,3.34
6085512052,4473,14.51,74.58,10.91,28.91,50.35,0.96,0,15.18,4.61
6085512053,4451,10.76,75.35,13.88,34.58,38.13,4.61,0,18.24,4.45
6085512100,1527,10.67,68.7,20.63,50.88,33.53,0,0,14.8,0.79
6085512200,3859,11.4,62.63,25.97,16.71,66.86,1.32,0,11.07,4.04
6085512305,5039,10.14,76.27,13.59,26,46.36,0.99,0,21.1,5.56
6085512307,6884,14.67,65.3,20.03,22.49,57.48,1.13,0,13.14,5.75
6085512308,8784,10.82,74.66,14.53,22.76,54.08,2.17,0,14.87,6.12
6085512309,5026,8.71,75.87,15.42,25.69,62.44,0.64,0.14,5.83,5.27
6085512310,5050,15.6,75.96,8.44,40.63,36.42,2.51,0,16.79,3.64
6085512311,4211,10.76,72.38,16.86,38.83,44.1,3.23,0,11.87,1.97
6085512312,3624,15.98,72.63,11.4,32.45,46.5,0.75,0,13.16,7.15
6085512313,3843,14.52,76.42,9.06,52.75,29.69,3.56,0.16,10.74,3.1
6085512314,6522,15.5,69.81,14.69,40.97,46.21,0.51,0,10.17,2.15
6085512401,4635,10.68,70.49,18.83,43.19,46.04,3.65,0,4.06,3.06
6085512402,5030,10.44,71.07,18.49,43.2,41.33,0.83,0.66,8.71,5.27
6085512503,9105,12.52,75.31,12.17,31.71,51.8,0.86,0,12.71,2.93
6085512505,8465,16.48,74.01,9.51,65.42,21.22,0.79,0,9.64,2.93
6085512506,7227,16.99,78.46,4.55,71.94,17.2,0.53,0.86,6.72,2.75
6085512508,8351,12.43,73.92,13.65,61.45,30.7,0.13,0.16,5.75,1.81
6085512509,5952,12.92,76.09,10.99,53.63,25.32,4.49,0,12.32,4.25
6085512510,7345,14.27,71.03,14.7,48.29,34.81,1.33,0,12.42,3.14
6085512602,2404,10.82,73.04,16.14,41.22,45.47,0.37,0,12.06,0.87
6085512603,4634,14.67,79.56,5.76,85.82,9.47,0.22,0.63,3.69,0.17
6085512604,4886,16.03,73.19,10.79,85.8,10.05,0.59,0.18,2.54,0.84
6085513000,9578,3,97,0,15.31,41.57,2.61,0.1,33.97,6.43
6085513500,1202,9.65,63.81,26.54,39.27,43.84,2.08,0,9.9,4.91
6087100100,2234,8.1,73.32,18.58,15.8,73.01,2.78,0,5.24,3.18
6087100200,7156,10.61,73.13,16.27,22.41,65.5,0.49,0.17,6.89,4.54
6087100300,3563,6.06,72.78,21.16,10.47,73,1.96,0.2,8.87,5.5
6087100400,10486,1.25,98.29,0.46,28.63,32.71,2.43,0.1,29.49,6.64
6087100500,6440,4.36,84.08,11.55,16.82,66.02,1.55,0,12.61,3
6087100600,3665,9.9,75.12,14.98,20.74,65.18,0.68,0,2.97,10.42
6087100700,2015,1.49,85.71,12.8,17.37,76.03,0,0,2.23,4.37
6087100800,6608,7.16,82.58,10.26,26.62,60.82,1.45,0.3,4.31,6.49
6087100900,4397,7.03,77.12,15.85,18.01,75.12,0.48,0,2.73,3.66
6087101000,8081,6.14,84.69,9.17,29.3,53.84,4.07,0.24,8.45,4.1
6087101100,5567,9.99,71.19,18.83,10.54,77.29,3.43,0.59,4.28,3.86
6087101200,3174,6.27,74.8,18.94,15.47,74.73,0,0.16,5.99,3.65
6087110100,7760,19.73,63.8,16.47,75.09,21.53,0,0,1.73,1.65
6087110200,7957,13.65,72.18,14.18,71.13,23.02,1.86,0,3.59,0.39
6087110300,7275,20.12,73.73,6.14,93.62,5.33,0.07,0,0.65,0.33
6087110400,8077,20,75.84,4.16,84.33,10.46,0.02,0,4.94,0.25
6087110501,8594,19.33,73.04,7.63,75.63,22.29,0.09,0,1.07,0.91
6087110502,6423,14.67,77.5,7.83,88.23,8.53,0,0,2.76,0.48
6087110600,8241,14.67,71.74,13.59,82.57,13.35,1.3,0,2.78,0
6087110700,3159,15.89,68.22,15.89,77.62,17.63,0,0,4.08,0.66
6087120200,4684,6.49,71.52,21.99,13.9,76.9,1.94,0.09,2.6,4.57
6087120301,5312,10.84,66.38,22.78,13.57,80.57,0.7,0,1.22,3.93
6087120302,3054,7.96,79.21,12.84,7.37,88.87,0,0,0.92,2.85
6087120400,4884,9.54,75.39,15.07,10.03,82.43,1,0.76,1.82,3.95
6087120500,5738,9.43,70.69,19.88,9.18,77.34,0.1,0,5.42,7.95
6087120600,4781,7.53,74.65,17.82,8.78,84.38,1.34,0,2.05,3.45
6087120700,4307,14.46,68.63,16.9,11.84,77.85,0,0.65,4.67,4.99
6087120800,5779,10.04,62.9,27.06,6.58,81.47,1.61,0,3.89,6.45
6087120900,8746,11.86,73.07,15.07,14.7,74.27,0.61,0,7.8,2.62
6087121000,3578,6.04,72.75,21.21,3.72,89.18,0,0,4.3,2.79
6087121100,3229,8.58,67.73,23.69,17.87,74.14,0.09,0,2.04,5.85
6087121200,6547,8.8,72.78,18.42,4.96,86.59,0.14,0.06,1.97,6.28
6087121300,4271,11.71,68.23,20.07,35.35,57.01,0,0,2.9,4.73
6087121401,2755,7.59,70.16,22.25,22.72,67.59,1.09,2.21,4.75,1.63
6087121402,4309,13.14,76,10.86,37.6,53.72,0.26,0.23,6.78,1.42
6087121403,3382,11.83,70.64,17.53,29.18,63.16,1.21,0,2.99,3.46
6087121500,5196,8.76,72.61,18.63,27.62,67.63,0.73,0,0,4.02
6087121600,6578,4.91,76.89,18.2,24.14,70.33,1.7,0.36,2.55,0.91
6087121700,7387,13.04,68.96,18,31.12,59.02,0.96,0.73,3.49,4.67
6087121800,4352,9.95,61.49,28.56,17.88,72.17,0,0,3.93,6.02
6087122001,4926,9.03,72.7,18.27,13.3,79.86,0.65,0.14,3.25,2.8
6087122002,3253,7.53,69.17,23.3,6.73,89.7,0.71,0,1.81,1.05
6087122003,7248,10.87,69.62,19.51,16.2,74.54,0.28,0.59,3.31,5.08
6087122100,3286,10.04,71.12,18.84,16.68,76.29,0.67,0,2.47,3.9
6087122201,6506,4.75,70.53,24.72,9.24,83.94,1.31,0.02,3.6,1.91
6087122202,2328,6.7,70.36,22.94,13.92,76.12,0.39,0,3.52,6.06
6087122203,3971,10.05,65.05,24.91,10.73,81.77,0.93,0,2.19,4.38
6087122300,3796,7.56,66.15,26.29,26.42,67.91,0.42,0.47,1.95,2.82
6087122400,7247,1.99,74.31,23.71,19.48,74.43,0.33,0,2.06,3.7
6087122500,6988,16.37,76.1,7.53,79.45,15.57,0.62,0,0.7,3.66
6087123100,3193,16.1,73.35,10.55,65.42,30.19,0,0.09,1.94,2.35
6087123300,1479,9.94,82.15,7.91,56.39,41.24,1.22,0,1.15,0
6089010100,1658,5.13,79.43,15.44,10.98,76.72,3.68,2.23,2.17,4.22
6089010200,2325,10.02,68.82,21.16,3.53,88.17,5.94,0,1.38,0.99
6089010300,4329,14.16,70.92,14.92,12.24,75.19,2.36,5.38,2.52,2.31
6089010400,4266,9.96,73.75,16.29,11.74,83.94,0.7,2.3,0.96,0.35
6089010500,5812,9.91,78.92,11.17,10.46,81.69,1.58,1.84,2.44,1.98
6089010601,2297,12.41,63.65,23.94,7.44,83.98,0.39,0,3.96,4.22
6089010602,5279,12.16,65.69,22.14,8.3,77.34,0.74,3.07,8.66,1.89
6089010603,1477,9.07,67.5,23.43,2.57,79.01,1.35,9.14,6.09,1.83
6089010702,3559,9.24,71.4,19.36,5.34,87.47,0,1.97,1.18,4.05
6089010703,3242,9.28,65.3,25.42,4.04,81.99,4.32,0.99,4.13,4.53
6089010704,3956,12.11,63.65,24.24,11.53,73.33,0.03,5.01,5.36,4.75
