"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
San Joaquin Sheriff's Dept.,San Joaquin County Honor Farm,2016,4,40,6,232,38,316
San Luis Obispo Sheriff's Dept.,San Luis Obispo County Jail ,2016,4,219,40,190,27,476
San Luis Obispo Sheriff's Dept.,San Luis Obispo Honor Farm ,2016,4,0,2,51,12,65
San Mateo Sheriff's Dept.,Maguire Correctional Facility,2016,4,520,5,251,2,778
San Mateo Sheriff's Dept.,Minimum Security Transitional Fac.,2016,4,0,0,28,0,28
San Mateo Sheriff's Dept.,Womens Correctional Center ,2016,4,0,58,0,34,92
San Mateo Sheriff's Dept.,Womens Transitional Fac,2016,4,0,0,0,11,11
Santa Ana Police Dept.,Santa Ana Police Facility,2016,4,248,87,0,0,335
Santa Barbara Sheriff's Dept.,Medium Security Facility,2016,4,121,22,86,21,250
Santa Barbara Sheriff's Dept.,Santa Barbara County Main Jail ,2016,4,526,85,160,21,792
Santa Barbara Sheriff's Dept.,Santa Maria Branch Jail,2016,4,0,0,0,0,0
Santa Clara Corrections Dept.,Elmwood Complex - Men's facility,2016,4,1291,0,634,0,1925
Santa Clara Corrections Dept.,Elmwood Complex - Women's Facility,2016,4,0,265,0,163,428
Santa Clara Corrections Dept.,Santa Clara County Main Jail ,2016,4,1088,0,144,0,1232
Santa Cruz Sheriff's Dept.,Santa Cruz Blaine Womens Min,2016,4,0,0,0,8,8
Santa Cruz Sheriff's Dept.,Santa Cruz Main Jail,2016,4,206,20,73,11,310
Santa Cruz Sheriff's Dept.,Santa Cruz Medium Security,2016,4,28,0,58,0,86
Shasta Sheriff's Dept.,Shasta County Main Jail ,2016,4,231,42,58,10,341
Siskiyou Sheriff's Dept.,Siskiyou County Jail ,2016,4,78,8,11,0,97
Solano Sheriff's Dept.,Claybank Facility ,2016,4,148,35,68,18,269
Solano Sheriff's Dept.,Solano County Justice Center ,2016,4,399,46,100,13,558
Solano Sheriff's Dept.,Stanton Correctional Facility,2016,4,45,0,32,0,77
Sonoma Sheriff's Dept.,Sonoma Main Adult Detention,2016,4,310,91,210,91,702
Sonoma Sheriff's Dept.,Sonoma-North County Facility,2016,4,152,0,260,0,412
Stanislaus Sheriff's Dept.,Public Safety Cntr Units 1 & 2,2016,4,177,19,131,15,342
Stanislaus Sheriff's Dept.,Stanislaus Co. Public Safety Center,2016,4,348,77,58,26,509
Stanislaus Sheriff's Dept.,Stanislaus County Jail ,2016,4,307,0,62,0,369
Sutter Sheriff's Dept.,Sutter County Jail ,2016,4,132,24,49,23,228
Tehama Sheriff's Dept.,Tehama County Jail ,2016,4,95,11,73,24,203
Trinity Sheriff's Dept.,Trinity Co. Detention Facility,2016,4,32,8,8,0,48
Tulare Sheriff's Dept.,Bob Wiley Detention Facility,2016,4,380,86,154,87,707
Tulare Sheriff's Dept.,Men's Correctional Facility,2016,4,120,0,153,0,273
Tulare Sheriff's Dept.,Pre-Trial Facility,2016,4,227,27,102,32,388
Tulare Sheriff's Dept.,Tulare County Jail ,2016,4,99,0,169,0,268
Tuolumne Sheriff's Dept.,Tuolumne County Jail ,2016,4,75,25,31,11,142
Ventura Sheriff's Dept.,Todd Road Jail,2016,4,311,105,299,95,810
Ventura Sheriff's Dept.,Ventura County Main Jail ,2016,4,574,7,251,6,838
Yolo Sheriff's Dept.,Leinberger Center ,2016,4,54,5,39,10,108
Yolo Sheriff's Dept.,Monroe Detention Center ,2016,4,189,26,52,6,273
Yuba Sheriff's Dept.,Yuba County Jail ,2016,4,289,31,55,18,393
